Location,Price,Bedrooms,Bathrooms,Category_Bedsitter,Category_Commercial,Category_Flats,Category_Houses,Category_Offices,Category_Villas,Latitude,Longitude
Kilimani,180000,5,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,6,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,250000,4,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,250000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,6,7,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,4,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,5,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,650000,4,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,650000,4,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,5,6,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,4,7,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,6,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,5,1,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,1,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,4,5,0,0,0,0,0,1,-6.1833368,39.2053275
Kilimani,180000,3,3,0,0,0,0,0,1,-6.1833368,39.2053275
Kilimani,180000,5,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,6,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,250000,4,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,250000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,5,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,4,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,5,6,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,3,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,6,7,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,5,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,4,5,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,220000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,2,2,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,180000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,2,1,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,200000,4,4,0,0,0,1,0,0,-6.1833368,39.2053275
Kilimani,90000,3,3,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,90000,2,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,180000,2,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,180000,3,3,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,90000,3,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,90000,2,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,80000,2,4,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,80000,3,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,190000,2,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,190000,1,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,140000,1,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,140000,1,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,90000,3,3,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,90000,3,3,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,150000,2,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,150000,2,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,90000,1,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,90000,1,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,75000,2,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,75000,3,3,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,60000,2,2,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,60000,2,1,0,0,1,0,0,0,-6.1833368,39.2053275
Kilimani,55000,1,2,0,0,1,0,0,0,-6.1833368,39.2053275
